MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,PLAYER_NAME
@PHI,L,23,4,14,0.286,1,6,0.167,2,4,0.5,3,6,9,5,1,1,0,2,11,-3,Jusuf Nurkic
SAS,L,19,2,5,0.4,1,3,0.333,2,2,1.0,1,2,3,2,1,0,2,3,7,-5,Jusuf Nurkic
SAS,L,30,4,10,0.4,2,5,0.4,2,2,1.0,0,12,12,4,1,2,0,4,12,-8,Jusuf Nurkic
UTA,W,23,3,8,0.375,0,2,0.0,4,6,0.667,2,5,7,6,2,1,2,3,10,15,Jusuf Nurkic
@LAL,L,28,1,5,0.2,0,2,0.0,2,2,1.0,3,6,9,3,3,0,4,5,4,-3,Jusuf Nurkic
@GSW,W,28,5,8,0.625,1,2,0.5,3,3,1.0,3,11,14,3,0,1,1,5,14,2,Jusuf Nurkic
OKC,L,7,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,David Roddy
HOU,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,David Roddy
LAL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,David Roddy
@DAL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,David Roddy
DET,W,10,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,1,5,-13,David Roddy
@NYK,L,23,6,11,0.545,3,5,0.6,0,2,0.0,1,2,3,3,0,0,3,0,15,2,David Roddy
@BOS,L,33,6,16,0.375,0,5,0.0,2,3,0.667,1,7,8,1,0,0,3,0,14,-38,David Roddy
GSW,L,27,6,10,0.6,1,3,0.333,3,4,0.75,0,2,2,4,0,0,2,3,16,-16,David Roddy
CLE,L,18,1,12,0.083,0,2,0.0,0,0,0.0,0,4,4,3,1,0,0,2,2,2,David Roddy
SAC,L,35,3,9,0.333,0,4,0.0,3,5,0.6,2,8,10,2,1,0,4,0,9,-19,David Roddy
@IND,L,32,5,13,0.385,2,7,0.286,2,2,1.0,1,4,5,1,1,1,0,4,14,4,David Roddy
ORL,W,17,1,4,0.25,0,1,0.0,1,2,0.5,3,7,10,3,0,0,1,2,3,4,David Roddy
@MIA,W,32,4,11,0.364,2,4,0.5,0,0,0.0,2,1,3,4,2,1,3,2,10,-9,David Roddy
@TOR,W,23,4,12,0.333,0,0,0.0,0,0,0.0,6,3,9,2,0,0,1,1,8,-5,David Roddy
